Fusion Material 1,Fusion Material 2,Fusion Result
Omega,Omega,Flaemis
Omega,Megami,Vile
Omega,Deity,Tyrant
Omega,Vile,Dragon
Omega,Snake,Kishin
Omega,Dragon,Touki
Omega,Divine,Deity
Omega,Avian,Kishin
Omega,Fallen,Vile
Omega,Avatar,Wilder
Omega,Beast,Avatar
Omega,Wilder,Fallen
Omega,Genma,Megami
Omega,Fairy,Ghost
Omega,Tyrant,Deity
Omega,Kishin,Megami
Omega,Touki,Femme
Omega,Jaki,Kishin
Omega,Femme,Megami
Omega,Ghost,Touki
Omega,Fiend,Vile
Omega,Hero,Megami
Megami,Omega,Vile
Megami,Megami,Aquans
Megami,Deity,Kishin
Megami,Vile,Omega
Megami,Snake,Fairy
Megami,Dragon,Jaki
Megami,Divine,Avatar
Megami,Avian,Divine
Megami,Fallen,Femme
Megami,Avatar,Snake
Megami,Beast,Genma
Megami,Wilder,Fairy
Megami,Genma,Beast
Megami,Fairy,Wilder
Megami,Tyrant,Omega
Megami,Kishin,Touki
Megami,Touki,Avian
Megami,Jaki,Femme
Megami,Femme,Divine
Megami,Ghost,Vile
Megami,Fiend,Omega
Megami,Hero,Tyrant
Deity,Omega,Tyrant
Deity,Megami,Kishin
Deity,Deity,Flaemis
Deity,Vile,Tyrant
Deity,Snake,Omega
Deity,Dragon,Vile
Deity,Divine,Megami
Deity,Avian,Femme
Deity,Fallen,Kishin
Deity,Avatar,Jaki
Deity,Beast,Avian
Deity,Wilder,Touki
Deity,Genma,Wilder
Deity,Fairy,Snake
Deity,Tyrant,Vile
Deity,Kishin,Fairy
Deity,Touki,Kishin
Deity,Jaki,Tyrant
Deity,Femme,Dragon
Deity,Ghost,Fairy
Deity,Fiend,Tyrant
Deity,Hero,Kishin
Vile,Omega,Dragon
Vile,Megami,Omega
Vile,Deity,Tyrant
Vile,Vile,Aeros
Vile,Snake,Deity
Vile,Dragon,Tyrant
Vile,Divine,Avian
Vile,Avian,Jaki
Vile,Fallen,Avian
Vile,Avatar,Tyrant
Vile,Beast,Dragon
Vile,Wilder,Fallen
Vile,Genma,Kishin
Vile,Fairy,Touki
Vile,Tyrant,Deity
Vile,Kishin,Jaki
Vile,Touki,Genma
Vile,Jaki,Genma
Vile,Femme,Tyrant
Vile,Ghost,Deity
Vile,Fiend,Kishin
Vile,Hero,Omega
Snake,Omega,Kishin
Snake,Megami,Fairy
Snake,Deity,Omega
Snake,Vile,Deity
Snake,Snake,Aquans
Snake,Dragon,Wilder
Snake,Divine,Megami
Snake,Avian,Vile
Snake,Fallen,Megami
Snake,Avatar,Deity
Snake,Beast,Avatar
Snake,Wilder,Touki
Snake,Genma,Deity
Snake,Fairy,Beast
Snake,Tyrant,Dragon
Snake,Kishin,Divine
Snake,Touki,Kishin
Snake,Jaki,Divine
Snake,Femme,Fallen
Snake,Ghost,Dragon
Snake,Fiend,Megami
Snake,Hero,Deity
Dragon,Omega,Touki
Dragon,Megami,Jaki
Dragon,Deity,Vile
Dragon,Vile,Tyrant
Dragon,Snake,Wilder
Dragon,Dragon,Flaemis
Dragon,Divine,Fallen
Dragon,Avian,Femme
Dragon,Fallen,Beast
Dragon,Avatar,Ghost
Dragon,Beast,Jaki
Dragon,Wilder,Genma
Dragon,Genma,Fallen
Dragon,Fairy,Fallen
Dragon,Tyrant,Ghost
Dragon,Kishin,Genma
Dragon,Touki,Wilder
Dragon,Jaki,Avian
Dragon,Femme,Ghost
Dragon,Ghost,Wilder
Dragon,Fiend,Snake
Dragon,Hero,Divine
Divine,Omega,Deity
Divine,Megami,Avatar
Divine,Deity,Megami
Divine,Vile,Avian
Divine,Snake,Megami
Divine,Dragon,Fallen
Divine,Divine,Aeros
Divine,Avian,Snake
Divine,Fallen,Tyrant
Divine,Avatar,Megami
Divine,Beast,Avatar
Divine,Wilder,Avatar
Divine,Genma,Dragon
Divine,Fairy,Avatar
Divine,Tyrant,Deity
Divine,Kishin,Femme
Divine,Touki,Beast
Divine,Jaki,Kishin
Divine,Femme,Megami
Divine,Ghost,Avian
Divine,Fiend,Vile
Divine,Hero,Megami
Avian,Omega,Kishin
Avian,Megami,Divine
Avian,Deity,Femme
Avian,Vile,Jaki
Avian,Snake,Vile
Avian,Dragon,Femme
Avian,Divine,Snake
Avian,Avian,Aeros
Avian,Fallen,Megami
Avian,Avatar,Divine
Avian,Beast,Genma
Avian,Wilder,Snake
Avian,Genma,Divine
Avian,Fairy,Snake
Avian,Tyrant,Avatar
Avian,Kishin,Deity
Avian,Touki,Beast
Avian,Jaki,Avatar
Avian,Femme,Divine
Avian,Ghost,Beast
Avian,Fiend,Megami
Avian,Hero,Divine
Fallen,Omega,Vile
Fallen,Megami,Femme
Fallen,Deity,Kishin
Fallen,Vile,Avian
Fallen,Snake,Megami
Fallen,Dragon,Beast
Fallen,Divine,Tyrant
Fallen,Avian,Megami
Fallen,Fallen,Erthys
Fallen,Avatar,Touki
Fallen,Beast,Femme
Fallen,Wilder,Dragon
Fallen,Genma,Tyrant
Fallen,Fairy,Divine
Fallen,Tyrant,Omega
Fallen,Kishin,Jaki
Fallen,Touki,Avian
Fallen,Jaki,Beast
Fallen,Femme,Dragon
Fallen,Ghost,Fairy
Fallen,Fiend,Genma
Fallen,Hero,Tyrant
Avatar,Omega,Wilder
Avatar,Megami,Snake
Avatar,Deity,Jaki
Avatar,Vile,Tyrant
Avatar,Snake,Deity
Avatar,Dragon,Ghost
Avatar,Divine,Megami
Avatar,Avian,Divine
Avatar,Fallen,Touki
Avatar,Avatar,Aquans
Avatar,Beast,Divine
Avatar,Wilder,Jaki
Avatar,Genma,Snake
Avatar,Fairy,Megami
Avatar,Tyrant,Fallen
Avatar,Kishin,Deity
Avatar,Touki,Kishin
Avatar,Jaki,Fairy
Avatar,Femme,Genma
Avatar,Ghost,Snake
Avatar,Fiend,Vile
Avatar,Hero,Deity
Beast,Omega,Avatar
Beast,Megami,Genma
Beast,Deity,Avian
Beast,Vile,Dragon
Beast,Snake,Avatar
Beast,Dragon,Jaki
Beast,Divine,Avatar
Beast,Avian,Genma
Beast,Fallen,Femme
Beast,Avatar,Divine
Beast,Beast,Flaemis
Beast,Wilder,Ghost
Beast,Genma,Jaki
Beast,Fairy,Femme
Beast,Tyrant,Dragon
Beast,Kishin,Avian
Beast,Touki,Fairy
Beast,Jaki,Touki
Beast,Femme,Fairy
Beast,Ghost,Wilder
Beast,Fiend,Snake
Beast,Hero,Snake
Wilder,Omega,Fallen
Wilder,Megami,Fairy
Wilder,Deity,Touki
Wilder,Vile,Fallen
Wilder,Snake,Touki
Wilder,Dragon,Genma
Wilder,Divine,Avatar
Wilder,Avian,Snake
Wilder,Fallen,Dragon
Wilder,Avatar,Jaki
Wilder,Beast,Ghost
Wilder,Wilder,Erthys
Wilder,Genma,Vile
Wilder,Fairy,Avian
Wilder,Tyrant,Jaki
Wilder,Kishin,Ghost
Wilder,Touki,Snake
Wilder,Jaki,Dragon
Wilder,Femme,Avatar
Wilder,Ghost,Touki
Wilder,Fiend,Dragon
Wilder,Hero,Avatar
Genma,Omega,Megami
Genma,Megami,Beast
Genma,Deity,Wilder
Genma,Vile,Kishin
Genma,Snake,Deity
Genma,Dragon,Fallen
Genma,Divine,Dragon
Genma,Avian,Divine
Genma,Fallen,Tyrant
Genma,Avatar,Snake
Genma,Beast,Jaki
Genma,Wilder,Vile
Genma,Genma,Aeros
Genma,Fairy,Beast
Genma,Tyrant,Vile
Genma,Kishin,Snake
Genma,Touki,Avatar
Genma,Jaki,Avian
Genma,Femme,Touki
Genma,Ghost,Divine
Genma,Fiend,Deity
Genma,Hero,Deity
Fairy,Omega,Ghost
Fairy,Megami,Wilder
Fairy,Deity,Snake
Fairy,Vile,Touki
Fairy,Snake,Beast
Fairy,Dragon,Fallen
Fairy,Divine,Avatar
Fairy,Avian,Snake
Fairy,Fallen,Divine
Fairy,Avatar,Megami
Fairy,Beast,Femme
Fairy,Wilder,Avian
Fairy,Genma,Beast
Fairy,Fairy,Aeros
Fairy,Tyrant,Wilder
Fairy,Kishin,Vile
Fairy,Touki,Beast
Fairy,Jaki,Ghost
Fairy,Femme,Fallen
Fairy,Ghost,Jaki
Fairy,Fiend,Femme
Fairy,Hero,Genma
Tyrant,Omega,Deity
Tyrant,Megami,Omega
Tyrant,Deity,Vile
Tyrant,Vile,Deity
Tyrant,Snake,Dragon
Tyrant,Dragon,Ghost
Tyrant,Divine,Deity
Tyrant,Avian,Avatar
Tyrant,Fallen,Omega
Tyrant,Avatar,Fallen
Tyrant,Beast,Dragon
Tyrant,Wilder,Jaki
Tyrant,Genma,Vile
Tyrant,Fairy,Wilder
Tyrant,Tyrant,Erthys
Tyrant,Kishin,Fallen
Tyrant,Touki,Snake
Tyrant,Jaki,Femme
Tyrant,Femme,Wilder
Tyrant,Ghost,Femme
Tyrant,Fiend,Omega
Tyrant,Hero,Snake
Kishin,Omega,Megami
Kishin,Megami,Touki
Kishin,Deity,Fairy
Kishin,Vile,Jaki
Kishin,Snake,Divine
Kishin,Dragon,Genma
Kishin,Divine,Femme
Kishin,Avian,Deity
Kishin,Fallen,Jaki
Kishin,Avatar,Deity
Kishin,Beast,Avian
Kishin,Wilder,Ghost
Kishin,Genma,Snake
Kishin,Fairy,Vile
Kishin,Tyrant,Fallen
Kishin,Kishin,Aquans
Kishin,Touki,Omega
Kishin,Jaki,Genma
Kishin,Femme,Genma
Kishin,Ghost,Vile
Kishin,Fiend,Vile
Kishin,Hero,Omega
Touki,Omega,Femme
Touki,Megami,Avian
Touki,Deity,Kishin
Touki,Vile,Genma
Touki,Snake,Kishin
Touki,Dragon,Wilder
Touki,Divine,Beast
Touki,Avian,Beast
Touki,Fallen,Avian
Touki,Avatar,Kishin
Touki,Beast,Fairy
Touki,Wilder,Snake
Touki,Genma,Avatar
Touki,Fairy,Beast
Touki,Tyrant,Snake
Touki,Kishin,Omega
Touki,Touki,Flaemis
Touki,Jaki,Wilder
Touki,Femme,Fairy
Touki,Ghost,Genma
Touki,Fiend,Kishin
Touki,Hero,Kishin
Jaki,Omega,Kishin
Jaki,Megami,Femme
Jaki,Deity,Tyrant
Jaki,Vile,Genma
Jaki,Snake,Divine
Jaki,Dragon,Avian
Jaki,Divine,Kishin
Jaki,Avian,Avatar
Jaki,Fallen,Beast
Jaki,Avatar,Fairy
Jaki,Beast,Touki
Jaki,Wilder,Dragon
Jaki,Genma,Avian
Jaki,Fairy,Ghost
Jaki,Tyrant,Femme
Jaki,Kishin,Genma
Jaki,Touki,Wilder
Jaki,Jaki,Erthys
Jaki,Femme,Beast
Jaki,Ghost,Fallen
Jaki,Fiend,Genma
Jaki,Hero,Genma
Femme,Omega,Megami
Femme,Megami,Divine
Femme,Deity,Dragon
Femme,Vile,Tyrant
Femme,Snake,Fallen
Femme,Dragon,Ghost
Femme,Divine,Megami
Femme,Avian,Divine
Femme,Fallen,Dragon
Femme,Avatar,Genma
Femme,Beast,Fairy
Femme,Wilder,Avatar
Femme,Genma,Touki
Femme,Fairy,Fallen
Femme,Tyrant,Wilder
Femme,Kishin,Genma
Femme,Touki,Fairy
Femme,Jaki,Beast
Femme,Femme,Aquans
Femme,Ghost,Fairy
Femme,Fiend,Megami
Femme,Hero,Megami
Ghost,Omega,Touki
Ghost,Megami,Vile
Ghost,Deity,Fairy
Ghost,Vile,Deity
Ghost,Snake,Dragon
Ghost,Dragon,Wilder
Ghost,Divine,Avian
Ghost,Avian,Beast
Ghost,Fallen,Fairy
Ghost,Avatar,Snake
Ghost,Beast,Wilder
Ghost,Wilder,Touki
Ghost,Genma,Divine
Ghost,Fairy,Jaki
Ghost,Tyrant,Femme
Ghost,Kishin,Vile
Ghost,Touki,Genma
Ghost,Jaki,Fallen
Ghost,Femme,Fairy
Ghost,Ghost,Erthys
Ghost,Fiend,Fairy
Ghost,Hero,Femme
Fiend,Omega,Vile
Fiend,Megami,Omega
Fiend,Deity,Tyrant
Fiend,Vile,Kishin
Fiend,Snake,Megami
Fiend,Dragon,Snake
Fiend,Divine,Vile
Fiend,Avian,Megami
Fiend,Fallen,Genma
Fiend,Avatar,Vile
Fiend,Beast,Snake
Fiend,Wilder,Dragon
Fiend,Genma,Deity
Fiend,Fairy,Femme
Fiend,Tyrant,Omega
Fiend,Kishin,Vile
Fiend,Touki,Kishin
Fiend,Jaki,Genma
Fiend,Femme,Megami
Fiend,Ghost,Fairy
Fiend,Fiend,Aquans
Fiend,Hero,Ghost
Hero,Omega,Megami
Hero,Megami,Tyrant
Hero,Deity,Kishin
Hero,Vile,Omega
Hero,Snake,Deity
Hero,Dragon,Divine
Hero,Divine,Megami
Hero,Avian,Divine
Hero,Fallen,Tyrant
Hero,Avatar,Deity
Hero,Beast,Snake
Hero,Wilder,Avatar
Hero,Genma,Deity
Hero,Fairy,Genma
Hero,Tyrant,Snake
Hero,Kishin,Omega
Hero,Touki,Kishin
Hero,Jaki,Genma
Hero,Femme,Megami
Hero,Ghost,Femme
Hero,Fiend,Ghost
Hero,Hero,Flaemis
Flaemis,Aquans,Saki (Vitality)
Flaemis,Aeros,Ara (Strength)
Aquans,Flaemis,Kusi (Agility)
Aquans,Erthys,Ara (Strength)
Aquans,Aeros,Kusi (Agility)
Aeros,Aquans,Kusi (Agility)
Aeros,Flaemis,Ara (Strength)
Aeros,Erthys,Nigi (Magic)
Erthys,Aquans,Ara (Strength)
Erthys,Aeros,Nigi (Magic)
Aquans,Snake,Snake
Flaemis,Snake,Snake
Erthys,Dragon,Dragon
Aeros,Dragon,Dragon
Aquans,Dragon,Dragon
Aquans,Divine,Divine
Flaemis,Divine,Divine
Aeros,Avian,Avian
Aquans,Avian,Avian
Flaemis,Avian,Avian
Aeros,Fallen,Fallen
Flaemis,Fallen,Fallen
Flaemis,Avatar,Avatar
Aeros,Beast,Beast
Flaemis,Beast,Beast
Erthys,Wilder,Wilder
Aquans,Wilder,Wilder
Flaemis,Wilder,Wilder
Aeros,Genma,Genma
Aquans,Genma,Genma
Erthys,Fairy,Fairy
Aeros,Fairy,Fairy
Aquans,Fairy,Fairy
Erthys,Kishin,Kishin
Erthys,Touki,Touki
Flaemis,Touki,Touki
Erthys,Jaki,Jaki
Aquans,Jaki,Jaki
Erthys,Femme,Femme
Aquans,Femme,Femme
Flaemis,Femme,Femme
Erthys,Ghost,Ghost
Aeros,Ghost,Ghost
